expid_x,peakid,highpoint,death,mhighpt,mo2none,mo2used,msuccess,psummiters
CHOY01118,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01118,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01118,CHOY,7600,False,False,False,True,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01101,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01101,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01102,CHOY,7600,False,True,True,False,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01103,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01103,CHOY,7600,False,True,True,False,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01104,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01104,CHOY,7600,False,True,True,False,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01105,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01105,CHOY,7600,False,True,True,False,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01105,CHOY,7600,False,False,False,True,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01106,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01106,CHOY,7600,False,True,True,False,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01107,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01107,CHOY,7600,False,True,True,False,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01108,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01108,CHOY,7600,False,True,False,True,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01109,CHOY,7600,False,False,False,True,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01109,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01109,CHOY,7600,False,True,False,True,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01110,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01110,CHOY,7600,False,True,True,False,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01111,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01111,CHOY,7600,False,True,True,False,True,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01112,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01113,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01114,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01114,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01115,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01115,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01116,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01117,CHOY,7600,False,True,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
CHOY01117,CHOY,7600,False,False,True,False,False,"Herbert Tichy, Sepp Jeochler, Pasang Dawa Lama"
EVER01151,EVER,8700,False,True,True,False,False,"Edmund Hillary, Tenzing Norgay Sherpa"
EVER01151,EVER,8700,False,False,True,False,False,"Edmund Hillary, Tenzing Norgay Sherpa"
EVER01101,EVER,8700,False,False,False,True,False,"Edmund Hillary, Tenzing Norgay Sherpa"
EVER01101,EVER,8700,False,True,False,True,True,"Edmund Hillary, Tenzing Norgay Sherpa"
