expid_x,peakid,host,nation,season,citizen,myear,sherpa,tibetan,heightm,himal,location,phost,region,pkname,pseason,pmonth
CHOY01118,CHOY,China,Switzerland,Spring,Italy,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01101,CHOY,China,Switzerland,Spring,Canada,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01101,CHOY,China,Switzerland,Spring,Mexico,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01101,CHOY,China,Switzerland,Spring,USA,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01101,CHOY,China,Switzerland,Spring,Australia,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01102,CHOY,China,Switzerland,Spring,Austria,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01103,CHOY,China,Switzerland,Spring,Spain,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01104,CHOY,China,Switzerland,Spring,Switzerland,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01104,CHOY,China,Switzerland,Spring,Germany,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01104,CHOY,China,Switzerland,Spring,Nepal,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01104,CHOY,China,Switzerland,Spring,Nepal,2001,True,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01104,CHOY,China,Switzerland,Spring,China,2001,False,True,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01105,CHOY,China,Switzerland,Spring,Germany,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01106,CHOY,China,Switzerland,Spring,Germany,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01106,CHOY,China,Switzerland,Spring,France,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01106,CHOY,China,Switzerland,Spring,Chile,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01106,CHOY,China,Switzerland,Spring,Austria,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01107,CHOY,China,Switzerland,Spring,Italy,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01108,CHOY,China,Switzerland,Spring,S Korea,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01109,CHOY,China,Switzerland,Spring,USA,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01109,CHOY,China,Switzerland,Spring,Nepal,2001,True,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01110,CHOY,China,Switzerland,Spring,Hungary,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01110,CHOY,China,Switzerland,Spring,USA,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01110,CHOY,China,Switzerland,Spring,Finland,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01110,CHOY,China,Switzerland,Spring,New Zealand,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01110,CHOY,China,Switzerland,Spring,UK,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01110,CHOY,China,Switzerland,Spring,Nepal,2001,True,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01111,CHOY,China,Switzerland,Spring,Spain,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01112,CHOY,China,Switzerland,Spring,S Africa,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01113,CHOY,China,Switzerland,Spring,Italy,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01114,CHOY,China,Switzerland,Spring,France,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01115,CHOY,China,Switzerland,Spring,UK,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01115,CHOY,China,Switzerland,Spring,Denmark,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01115,CHOY,China,Switzerland,Spring,Spain,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01115,CHOY,China,Switzerland,Spring,Argentina,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01115,CHOY,China,Switzerland,Spring,Sweden,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01116,CHOY,China,Switzerland,Spring,Switzerland,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01117,CHOY,China,Switzerland,Spring,Australia,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
CHOY01117,CHOY,China,Switzerland,Spring,New Zealand,2001,False,False,8188,Khumbu,Khumbu Himal (NW of Everest on Tibetan border),Nepal & China,Khumbu-Rolwaling-Makalu,Cho Oyu,Autumn,Oct
EVER01151,EVER,Nepal,Belgium,Winter,Australia,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01101,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01101,EVER,Nepal,Belgium,Winter,Canada,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01101,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01102,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01102,EVER,Nepal,Belgium,Winter,Spain,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01102,EVER,Nepal,Belgium,Winter,Canada,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01102,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01103,EVER,Nepal,Belgium,Winter,Canada,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01103,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01104,EVER,Nepal,Belgium,Winter,Argentina,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01105,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01105,EVER,Nepal,Belgium,Winter,Peru,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01105,EVER,Nepal,Belgium,Winter,Canada,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01105,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01106,EVER,Nepal,Belgium,Winter,Chile,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01106,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01107,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01107,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01108,EVER,Nepal,Belgium,Winter,UK,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01108,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01108,EVER,Nepal,Belgium,Winter,Australia,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01108,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01109,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01109,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01109,EVER,Nepal,Belgium,Winter,Nepal,2001,False,True,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01110,EVER,Nepal,Belgium,Winter,Turkey,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01110,EVER,Nepal,Belgium,Winter,USA,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01110,EVER,Nepal,Belgium,Winter,USA/UK,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01110,EVER,Nepal,Belgium,Winter,Canada,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01110,EVER,Nepal,Belgium,Winter,UK,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01110,EVER,Nepal,Belgium,Winter,Nepal,2001,True,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01111,EVER,Nepal,Belgium,Winter,Nepal,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01112,EVER,Nepal,Belgium,Winter,Austria,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
EVER01113,EVER,Nepal,Belgium,Winter,Germany,2001,False,False,8849,Khumbu,Khumbu Himal,Nepal & China,Khumbu-Rolwaling-Makalu,Everest,Spring,May
