expid_x,peakid,death,deathclass,deathdate,deathhgtm,deathtype,hired
CHOY01118,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01101,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01102,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01103,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01104,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01104,CHOY,False,No death,1900-01-01,0,No death,True
CHOY01105,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01106,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01107,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01108,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01109,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01109,CHOY,False,No death,1900-01-01,0,No death,True
CHOY01110,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01110,CHOY,False,No death,1900-01-01,0,No death,True
CHOY01111,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01112,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01113,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01114,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01115,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01116,CHOY,False,No death,1900-01-01,0,No death,False
CHOY01117,CHOY,False,No death,1900-01-01,0,No death,False
EVER01151,EVER,False,No death,1900-01-01,0,No death,False
EVER01101,EVER,False,No death,1900-01-01,0,No death,False
EVER01101,EVER,False,No death,1900-01-01,0,No death,True
EVER01102,EVER,False,No death,1900-01-01,0,No death,False
EVER01102,EVER,False,No death,1900-01-01,0,No death,True
EVER01103,EVER,False,No death,1900-01-01,0,No death,False
EVER01103,EVER,False,No death,1900-01-01,0,No death,True
EVER01104,EVER,False,No death,1900-01-01,0,No death,False
EVER01105,EVER,False,No death,1900-01-01,0,No death,False
EVER01105,EVER,False,No death,1900-01-01,0,No death,True
EVER01106,EVER,False,No death,1900-01-01,0,No death,False
EVER01106,EVER,False,No death,1900-01-01,0,No death,True
EVER01107,EVER,False,No death,1900-01-01,0,No death,False
EVER01107,EVER,False,No death,1900-01-01,0,No death,True
EVER01108,EVER,False,No death,1900-01-01,0,No death,False
EVER01108,EVER,False,No death,1900-01-01,0,No death,True
EVER01109,EVER,False,No death,1900-01-01,0,No death,False
EVER01109,EVER,False,No death,1900-01-01,0,No death,True
EVER01110,EVER,False,No death,1900-01-01,0,No death,False
EVER01110,EVER,False,No death,1900-01-01,0,No death,True
EVER01111,EVER,False,No death,1900-01-01,0,No death,False
EVER01112,EVER,True,Ascending in summit bid,2001-05-23,8500,Fall,False
EVER01113,EVER,False,No death,1900-01-01,0,No death,False
EVER01114,EVER,False,No death,1900-01-01,0,No death,False
EVER01115,EVER,False,No death,1900-01-01,0,No death,False
EVER01116,EVER,False,No death,1900-01-01,0,No death,False
EVER01117,EVER,False,No death,1900-01-01,0,No death,False
EVER01118,EVER,False,No death,1900-01-01,0,No death,False
EVER01118,EVER,False,No death,1900-01-01,0,No death,True
EVER01119,EVER,False,No death,1900-01-01,0,No death,False
EVER01120,EVER,False,No death,1900-01-01,0,No death,False
EVER01120,EVER,False,No death,1900-01-01,0,No death,True
EVER01121,EVER,False,No death,1900-01-01,0,No death,False
EVER01121,EVER,False,No death,1900-01-01,0,No death,True
EVER01122,EVER,False,No death,1900-01-01,0,No death,False
EVER01123,EVER,False,No death,1900-01-01,0,No death,False
EVER01124,EVER,False,No death,1900-01-01,0,No death,False
EVER01125,EVER,False,No death,1900-01-01,0,No death,False
EVER01126,EVER,True,Descending from summit bid,2001-05-24,7900,Illness (non-AMS),False
EVER01126,EVER,False,No death,1900-01-01,0,No death,False
EVER01126,EVER,False,No death,1900-01-01,0,No death,True
EVER01127,EVER,False,No death,1900-01-01,0,No death,False
EVER01128,EVER,False,No death,1900-01-01,0,No death,False
EVER01129,EVER,False,No death,1900-01-01,0,No death,False
EVER01129,EVER,False,No death,1900-01-01,0,No death,True
EVER01130,EVER,False,No death,1900-01-01,0,No death,False
EVER01130,EVER,False,No death,1900-01-01,0,No death,True
EVER01131,EVER,False,No death,1900-01-01,0,No death,False
EVER01131,EVER,False,No death,1900-01-01,0,No death,True
EVER01132,EVER,False,No death,1900-01-01,0,No death,False
EVER01133,EVER,False,No death,1900-01-01,0,No death,False
EVER01133,EVER,False,No death,1900-01-01,0,No death,True
EVER01134,EVER,False,No death,1900-01-01,0,No death,False
EVER01135,EVER,False,No death,1900-01-01,0,No death,False
EVER01135,EVER,False,No death,1900-01-01,0,No death,True
EVER01136,EVER,False,No death,1900-01-01,0,No death,False
EVER01136,EVER,False,No death,1900-01-01,0,No death,True
EVER01137,EVER,False,No death,1900-01-01,0,No death,False
EVER01137,EVER,False,No death,1900-01-01,0,No death,True
EVER01138,EVER,False,No death,1900-01-01,0,No death,False
EVER01139,EVER,False,No death,1900-01-01,0,No death,False
EVER01140,EVER,False,No death,1900-01-01,0,No death,False
EVER01141,EVER,False,No death,1900-01-01,0,No death,False
EVER01142,EVER,False,No death,1900-01-01,0,No death,False
EVER01142,EVER,False,No death,1900-01-01,0,No death,True
EVER01144,EVER,False,No death,1900-01-01,0,No death,False
EVER01145,EVER,False,No death,1900-01-01,0,No death,False
