iter	Passed	Remaining
0	21	16298
1	42	16036
2	63	15736
3	83	15500
4	103	15448
5	122	15162
6	141	15041
7	162	15075
8	182	15006
9	202	15016
10	221	14906
11	241	14880
12	262	14864
13	281	14812
14	301	14783
15	323	14833
16	344	14873
17	363	14765
18	382	14718
19	403	14718
20	422	14670
21	443	14673
22	463	14661
23	483	14618
24	503	14610
25	525	14629
26	546	14639
27	567	14639
28	590	14682
29	612	14692
30	631	14652
31	651	14613
32	671	14585
33	690	14543
34	711	14530
35	732	14519
36	751	14475
37	770	14428
38	790	14420
39	794	14096
40	812	14051
41	831	14024
42	852	14011
43	871	13981
44	890	13958
45	911	13946
46	932	13941
47	951	13918
48	970	13890
49	989	13857
50	1008	13823
51	1028	13801
52	1046	13762
53	1068	13777
54	1088	13749
55	1108	13738
56	1128	13722
57	1148	13703
58	1168	13688
59	1189	13677
60	1210	13671
61	1232	13671
62	1254	13682
63	1275	13673
64	1297	13678
65	1316	13641
66	1335	13616
67	1354	13588
68	1374	13569
69	1395	13554
70	1415	13535
71	1434	13509
72	1454	13493
73	1474	13467
74	1493	13444
75	1514	13426
76	1540	13461
77	1564	13476
78	1586	13471
79	1609	13475
80	1627	13444
81	1648	13425
82	1667	13400
83	1688	13390
84	1708	13366
85	1728	13343
86	1749	13335
87	1769	13308
88	1789	13288
89	1810	13273
90	1828	13244
91	1849	13228
92	1869	13204
93	1889	13187
94	1911	13179
95	1930	13148
96	1950	13133
97	1972	13119
98	1992	13103
99	2012	13079
100	2032	13061
101	2054	13051
102	2073	13026
103	2095	13014
104	2115	12992
105	2134	12966
106	2153	12939
107	2171	12910
108	2191	12885
109	2211	12867
110	2237	12879
111	2257	12862
112	2281	12860
113	2302	12847
114	2323	12831
115	2345	12818
116	2366	12802
117	2386	12780
118	2406	12759
119	2427	12743
120	2446	12719
121	2466	12696
122	2486	12674
123	2511	12677
124	2534	12672
125	2555	12656
126	2575	12634
127	2596	12617
128	2618	12607
129	2638	12584
130	2660	12572
131	2682	12557
132	2701	12534
133	2721	12510
134	2741	12487
135	2760	12464
136	2781	12444
137	2802	12426
138	2822	12407
139	2842	12383
140	2862	12362
141	2882	12343
142	2901	12317
143	2920	12291
144	2940	12267
145	2959	12244
146	2980	12226
147	2999	12201
148	3020	12185
149	3040	12162
150	3062	12148
151	3081	12124
152	3102	12106
153	3122	12085
154	3142	12064
155	3163	12043
156	3182	12020
157	3202	11999
158	3221	11973
159	3244	11964
160	3265	11947
161	3286	11927
162	3305	11905
163	3326	11886
164	3347	11869
165	3367	11846
166	3387	11824
167	3406	11801
168	3427	11784
169	3447	11762
170	3466	11738
171	3489	11725
172	3514	11722
173	3538	11713
174	3559	11696
175	3583	11686
176	3603	11666
177	3623	11642
178	3642	11619
179	3662	11596
180	3681	11574
181	3701	11553
182	3721	11529
183	3740	11507
184	3760	11484
185	3782	11468
186	3804	11453
187	3824	11431
188	3843	11408
189	3863	11386
190	3884	11369
191	3904	11347
192	3924	11326
193	3944	11304
194	3963	11282
195	3983	11260
196	4005	11243
197	4024	11220
198	4045	11200
199	4065	11179
200	4084	11156
201	4105	11137
202	4129	11126
203	4150	11107
204	4173	11094
205	4194	11077
206	4215	11059
207	4236	11040
208	4257	11020
209	4279	11004
210	4301	10988
211	4323	10972
212	4348	10963
213	4368	10941
214	4388	10919
215	4409	10901
216	4430	10881
217	4449	10858
218	4469	10837
219	4490	10818
220	4512	10800
221	4531	10777
222	4554	10762
223	4573	10740
224	4593	10717
225	4613	10695
226	4633	10674
227	4654	10655
228	4674	10635
229	4694	10613
230	4713	10590
231	4735	10572
232	4757	10555
233	4777	10533
234	4796	10511
235	4816	10490
236	4835	10467
237	4855	10445
238	4876	10425
239	4895	10403
240	4917	10385
241	4938	10366
242	4959	10347
243	4981	10330
244	5003	10312
245	5026	10297
246	5047	10278
247	5071	10264
248	5095	10252
249	5117	10234
250	5137	10212
251	5156	10189
252	5176	10169
253	5196	10147
254	5216	10125
255	5238	10107
256	5259	10089
257	5279	10068
258	5285	10020
259	5304	9997
260	5324	9975
261	5343	9953
262	5366	9936
263	5387	9918
264	5407	9897
265	5428	9876
266	5438	9838
267	5457	9815
268	5477	9795
269	5496	9771
270	5516	9750
271	5535	9728
272	5554	9705
273	5575	9685
274	5596	9666
275	5615	9643
276	5634	9622
277	5654	9600
278	5673	9577
279	5693	9557
280	5713	9536
281	5735	9518
282	5755	9496
283	5774	9475
284	5793	9453
285	5814	9433
286	5833	9411
287	5855	9393
288	5877	9375
289	5898	9356
290	5917	9334
291	5937	9313
292	5959	9295
293	5980	9276
294	6002	9257
295	6021	9235
296	6041	9214
297	6061	9194
298	6081	9173
299	6101	9152
300	6121	9131
301	6142	9112
302	6163	9092
303	6183	9071
304	6203	9051
305	6225	9033
306	6248	9016
307	6269	8997
308	6291	8979
309	6317	8966
310	6337	8945
311	6358	8926
312	6380	8907
313	6401	8888
314	6422	8868
315	6441	8847
316	6462	8826
317	6481	8805
318	6501	8784
319	6521	8763
320	6541	8741
321	6563	8723
322	6584	8704
323	6604	8683
324	6625	8663
325	6645	8643
326	6665	8621
327	6687	8603
